shortname,type_constant,class_name,fullname,status,header_file,notes
5a22,_5A22,_5a22_device,Ricoh 5A22,working,cpu/g65816/g65816.h,
adsp21062,ADSP21062,adsp21062_device,Analog Devices ADSP21062 'SHARC',working,cpu/sharc/sharc.h,
am186em,AM186EM,am186em_device,AMD Am186EM,working,cpu/i86/i186.h,
am188em,AM188EM,am188em_device,AMD Am188EM,working,cpu/i86/i186.h,
am8753,AM8753,am8753_device,AMD Am8753,needs_internal_rom,cpu/mcs51/i8051.h,Requires internal ROM/RAM regions not provided by ZBC
am9517a,AM9517A,am9517a_device,AM9517A,not_cpu,,DMA controller
arm11,ARM11,arm11_cpu_device,ARM11,working,cpu/arm7/arm7.h,
arm1176jzf_s,ARM1176JZF_S,arm1176jzf_s_cpu_device,ARM1176JZF-S,working,cpu/arm7/arm7.h,
arm710a,ARM710A,arm710a_cpu_device,ARM710a,working,cpu/arm7/arm7.h,
arm710t,ARM710T,arm710t_cpu_device,ARM710T,working,cpu/arm7/arm7.h,
arm7500,ARM7500,arm7500_cpu_device,ARM7500,working,cpu/arm7/arm7.h,
arm7_be,ARM7_BE,arm7_be_cpu_device,ARM7 (big),working,cpu/arm7/arm7.h,
arm7_le,ARM7,arm7_cpu_device,ARM7 (little),working,cpu/arm7/arm7.h,
arm9,ARM9,arm9_cpu_device,ARM9,working,cpu/arm7/arm7.h,
arm920t,ARM920T,arm920t_cpu_device,ARM920T,working,cpu/arm7/arm7.h,
arm946es,ARM946ES,arm946es_cpu_device,ARM946ES,working,cpu/arm7/arm7.h,
arm_cpu,ARM,arm_cpu_device,ARM,working,cpu/arm/arm.h,
at89c52,AT89C52,at89c52_device,Atmel AT89C52,needs_internal_rom,cpu/mcs51/i80c52.h,Requires internal ROM/RAM regions not provided by ZBC
at89s52,AT89S52,at89s52_device,Atmel AT89S52,needs_internal_rom,cpu/mcs51/i80c52.h,Requires internal ROM/RAM regions not provided by ZBC
athlonxp,ATHLONXP,athlonxp_device,Amd Athlon XP,working,cpu/i386/athlon.h,
cdp1801,CDP1801,cdp1801_device,RCA CDP1801,working,cpu/cosmac/cosmac.h,
cdp1802,CDP1802,cdp1802_device,RCA CDP1802,working,cpu/cosmac/cosmac.h,
cdp1804,CDP1804,cdp1804_device,RCA CDP1804,working,cpu/cosmac/cosmac.h,
cdp1805,CDP1805,cdp1805_device,RCA CDP1805,working,cpu/cosmac/cosmac.h,
cdp1806,CDP1806,cdp1806_device,RCA CDP1806,working,cpu/cosmac/cosmac.h,
cxd8530aq,CXD8530AQ,cxd8530aq_device,Sony CXD8530AQ,broken_validate,cpu/psx/psx.h,Crashes during validation
